Sample	isSMA	isCarrier	SMN1_CN	SMN2_CN	SMN*_CN	Total_CN_raw	Full_length_CN_raw	g.27134T>G_CN	population
HG03442	False	False	3	1	0	3.979	4.025	0	AFR
HG02757	False	False	2	2	0	3.912	4.084	0	AFR
NA19206	False	False	4	0	0	3.935	4.153	2	AFR
HG03461	False	False	2	2	0	4.013	3.984	0	AFR
NA19350	False	False	3	1	0	3.929	3.883	1	AFR
NA19201	False	False	4	0	0	3.985	4.111	2	AFR
HG03446	False	False	2	1	0	2.987	3.169	1	AFR
HG03055	False	False	2	1	0	3.039	3.215	0	AFR
HG03061	False	False	2	2	0	3.926	4.066	1	AFR
NA19351	False	False	2	1	0	2.778	2.756	1	AFR
NA19360	False	False	4	0	0	3.974	3.928	2	AFR
NA18498	False	False	4	0	0	4.037	4.173	2	AFR
NA20274	False	False	2	2	0	3.963	3.582	1	AFR
NA19200	False	False	4	0	0	4.006	4.119	2	AFR
NA19117	False	False	2	1	0	3.017	2.964	1	AFR
HG03457	False	False	3	1	0	3.991	4.007	1	AFR
HG03439	False	False	2	2	0	3.981	4.094	0	AFR
HG03189	False	False	2	0	0	2.092	1.984	0	AFR
NA19121	False	False	3	1	0	3.94	3.974	1	AFR
HG03460	False	False	2	2	0	4.049	4.077	0	AFR
NA20320	False	False	3	1	0	3.949	3.925	1	AFR
HG02851	False	False	3	1	0	3.983	4.065	1	AFR
NA19378	False	False	3	2	0	4.84	4.779	0	AFR
NA19113	False	False	4	0	0	3.984	3.929	2	AFR
HG03027	False	False	4	0	0	3.925	4.178	3	AFR
HG01880	False	False	3	1	0	3.971	3.875	0	AFR
NA19107	False	False	3	0	0	3.005	2.961	1	AFR
HG03066	False	False	2	1	0	3.046	3.122	1	AFR
NA19204	False	False	2	0	0	2.005	2.067	0	AFR
HG02888	False	False	3	1	0	3.89	3.984	1	AFR
NA19092	False	False	2	1	0	2.963	3.014	0	AFR
NA19372	False	False	2	1	0	2.974	2.909	1	AFR
HG03433	False	False	4	1	0	4.955	5.186	1	AFR
HG03565	False	False	3	1	0	4.038	3.953	2	AFR
HG03369	False	False	3	1	0	3.981	3.998	1	AFR
HG02840	False	False	2	1	0	2.954	3.017	0	AFR
NA20355	False	False	3	1	0	3.993	4.087	1	AFR
NA19375	False	False	2	1	0	2.95	2.859	0	AFR
NA18486	False	False	2	0	0	2.014	2.074	0	AFR
NA19096	False	False	2	2	0	3.924	4.144	0	AFR
HG03127	False	False	4	0	0	3.944	3.995	2	AFR
HG03126	False	False	4	0	0	4.04	4.1	0	AFR
NA20318	False	False	2	2	0	3.978	4.015	1	AFR
NA19190	False	False	3	1	0	4.07	4.164	0	AFR
HG01914	False	False	2	3	0	4.863	4.994	0	AFR
NA18499	False	False	4	0	0	3.901	4.055	0	AFR
NA19041	False	False	4	0	0	4.044	4.113	1	AFR
NA19130	False	False	3	0	0	2.969	2.933	0	AFR
HG03202	False	False	3	1	0	3.909	4.031	0	AFR
HG03343	False	False	3	1	0	4.032	4.015	1	AFR
HG01915	False	False	3	1	0	3.786	4.15	0	AFR
HG02852	False	False	2	1	0	3.032	3.142	0	AFR
NA18504	False	False	2	1	0	2.987	2.921	0	AFR
HG03190	False	False	None	None	0	4.056	3.966	2	AFR
NA19149	False	False	2	1	0	3.034	2.995	0	AFR
NA19376	False	False	3	1	0	3.998	4.116	0	AFR
NA18510	False	False	3	1	0	3.978	4.02	1	AFR
NA19210	False	False	2	1	0	2.986	3.023	0	AFR
HG03079	False	False	3	0	0	3.067	2.86	2	AFR
HG01896	False	False	2	1	0	2.977	2.869	1	AFR
